2020-12-22 15:31:42,103 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-12-22 15:35:12,483 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-12-22 16:09:18,360 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_confirm.png, dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:09:18,366 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_del.png, dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:09:18,367 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/tip_succeed.png, dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:09:19,690 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services, dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:09:24,339 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/applications, dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:59:59,420 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.0.75.1/com.douyu.app.api.service.IUserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.douyu.app.api.service.IUserService&version=*, dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:59:59,563 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.0.75.1/com.douyu.app.api.service.IUserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.douyu.app.api.service.IUserService&version=*, urls: [dubbo://10.0.75.1:20880/com.douyu.app.api.service.IUserService?anyhost=true&application=user-provider&application.version=1.0.0&default=true&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.douyu.app.api.service.IUserService&logger=log4j2&metadata-type=remote&methods=findAll&pid=7188&release=2.7.8&side=provider&timestamp=1608627598564, empty://10.0.75.1/com.douyu.app.api.service.IUserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.douyu.app.api.service.IUserService&version=*, empty://10.0.75.1/com.douyu.app.api.service.IUserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.douyu.app.api.service.IUserService&version=*, empty://10.0.75.1/com.douyu.app.api.service.IUserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.douyu.app.api.service.IUserService&version=*], dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:59:59,596 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.0.75.1/config?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:59:59,879 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.0.75.1/config?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, urls: [empty://10.0.75.1/config?category=providers&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, empty://10.0.75.1/config?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, empty://10.0.75.1/config?category=routers&check=false&classifier=*&enabled=*&group=*&interface=config&version=*, empty://10.0.75.1/config?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=config&version=*], dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 16:59:59,882 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.0.75.1/metadata?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, dubbo version: 2.6.2, current host: 10.0.75.1
2020-12-22 17:00:00,004 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.0.75.1/metadata?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, urls: [empty://10.0.75.1/metadata?category=providers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, empty://10.0.75.1/metadata?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, empty://10.0.75.1/metadata?category=routers&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*, empty://10.0.75.1/metadata?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=metadata&version=*], dubbo version: 2.6.2, current host: 10.0.75.1
